adresa," im. ž.  1. točna oznaka poštanskoga broja, ime sela ili grada, ulica i kućni broj te ime države u koju se šalje pošta 2. pol., prav. dokument kojim se više potpisnika obraća poglavaru postavljajući kakav zahtjev 3. inform. mjesto na kojemu se nalazi podatak na disku ili u glavnoj memoriji računala ◇ elektronička ~ inform. skup nasumično odabranih riječi i znakova na koji se prima i s kojega se šalje pošta, sastoji se od korisničkoga imena i imena računala; sin. e-adresa ♦ uputiti na čiju adresu uputiti komu; obratiti se na pravu (dobru) adresu obratiti se pravoj osobi, obratiti se na pravo mjesto; obratiti se na krivu (pogrešnu) adresu obratiti se pogrešnoj osobi, obratiti se na pogrešno mjesto"
adresni, prid.  koji se odnosi na adresu [adresna sabirnica]
advent, im. m.  rel. priprava za blagdan Božića tijekom četiriju tjedana; sin. došašće
adventski, prid.  koji se odnosi na advent [~ vijenac]
advokat, im. m.  v. odvjetnik
advokatica, im. ž.  v. odvjetnica
advokatičin, prid.  v. odvjetničin
advokatski, prid.  v. odvjetnički
aerob, im. m.  biol. organizam koji za život treba kisik; ant. anaerob
aerobik, im. m.  v. aerobika
aerobika, im. ž.  sp. tjelovježba prilagođena oblikovanju tijela i namijenjena u prvome redu ženama; sin. (aerobik)
aerobni, prid.  koji se odnosi na aerobe; ant. anaerobni
aerodinamički, prid.  koji se odnosi na aerodinamiku [~ oblici]
aerodinamika, im. ž.  fiz. grana fizike koja proučava strujenje plinova i gibanje tijela kroz plinove
aerodrom, im. m.  v. zračna luka pod  luka
aerofonski, prid.  v. puhaći
aerostatički, prid.  koji se odnosi na aerostatiku
aerostatika, im. ž.  fiz. grana fizike koja proučava ravnotežu plinova
afera, im. ž.  događaj koji ima negativne posljedice u javnosti [politička ~]
afiks, im. m.  gram. tvorbena jedinica koja dolazi ispred ili iza osnove ili se u nju umeće
afirmirati, gl. dvov. prijel.  1. v. promaknuti 2. v. promicati • afirmírati se 〈povr.〉 1. v. potvrditi se pod  potvrditi 2. v. potvrđivati se pod  potvrđivati
aforističan," prid.  koji je izrečen poput aforizma, sažet i slikovit"
aforizam, im. m.  sažeto i slikovito izrečena misao o životu i svijetu
afrikata, im. ž.  v. slivenik
afrikatni, prid.  v. sliveni
afroazijski, prid.  koji se odnosi na Afriku i Aziju
aga, im. m.  pov. 1. 〈jd.〉 naslov zapovjednika turske plaćeničke vojske [Smail-aga] 2. osoba s istoimenim naslovom 3. posjednik u Osmanskome Carstvu
agama, im. ž.  zool. gušter rasprostranjen u Africi i Aziji [bradata ~; vodena ~]
agava," im. ž.  bot. biljka mesnatih, debelih i trnovitih listova podrijetlom iz Južne i Srednje Amerike"
agencija, im. ž.  1. v. zastupništvo 2. ustanova koja se bavi prikupljanjem i prenošenjem vijesti [novinska ~] 3. poduzeće koje predstavlja koga ili radi u čije ime [modna ~; pomorska ~]
agencijski, prid.  koji se odnosi na agenciju
agent," im. m.  1. v. posrednik 2. v. zastupnik ◇ tajni ~ osoba koja za svoju službu tajno prikuplja različite obavijesti, vojne, političke i poslovne podatke; sin. špijun"
agentica," im. ž.  1. v. posrednica 2. v. zastupnica ◇ tajna ~ žena koja za svoju službu tajno prikuplja različite obavijesti, vojne, političke i poslovne podatke; sin. špijunka"
agentičin, prid.  1. v. posredničin 2. v. zastupničin
aginica, im. ž.  agina žena
aginičin, prid.  koji pripada aginici
agitacija, im. ž.  pridobivanje ljudi za što
agitator, im. m.  osoba koja agitira
agitatorica, im. ž.  žena koja agitira
agitatoričin, prid.  koji pripada agitatorici
agitatorski, prid.  koji se odnosi na agitatore
agitiranje, im. s.  provođenje agitacije
agitirati, gl. dvov. neprijel.  provesti/provoditi agitaciju
aglomeracija, im. ž.  1. zem. gusto naseljeno gradsko područje 2. geol. nakupina stijena
agonija, im. ž.  1. stanje bola koje prethodi smrti 2. pren. stanje velike psihičke patnje [ljubavna ~]
agora," im. ž.  pov. 1. narodna skupština u antičkoj Grčkoj 2. mjesto održavanja narodne skupštine u antičkoj Grčkoj, gradski trg"
agrar, im. m.  v. poljodjelstvo
agrarni, prid.  1. v. poljodjelski 2. v. zemljišni
agregacija, im. ž.  postupak kojim se što s čim združuje
agregacijski, prid.  koji se odnosi na agregaciju
agregat, im. m.  1. nakupina više različitih dijelova ili čestica 2. tehn. stroj koji služi za pokretanje kakva pogona
agresija, im. ž.  1. težak fizički ili vojni napad 2. v. navala 3. v. nasrtaj
agresivan, prid.  1. v. nasilan 2. v. nasrtljiv
agresivnost, im. ž.  1. v. nasilnost 2. v. nasrtljivost
agronom, im. m.  stručnjak koji se bavi agronomijom
agronomija, im. ž.  znanost o obradbi i iskorištavanju zemljišta te uzgoju krupne i sitne stoke
agronomka, im. ž.  stručnjakinja koja se bavi agronomijom
agronomski, prid.  koji se odnosi na agronome i agronomiju
agrotehnički, prid.  koji se odnosi na agrotehniku
agrotehnika, im. ž.  skup tehničkih sredstava koja se primjenjuju u poljodjelstvu
agrum, im. m.  bot. 1. 〈mn.〉 kiselkasto voće bogato vitaminom C 2. voćka podrijetlom iz tropskih i suptropskih krajeva s kiselkastim plodovima
ah," usk. 1. izriče divljenje [Ah, kako je lijepa!]; sin. a, au, eh, joj, oh, uh 2. izriče negodovanje [Ah, što je to grozno!]; sin. eh, oh, uf, uh 3. izriče mirenje s čim [Ah, takav ti je život!]; sin. eh, oh 4. izriče čežnju [Ah, da mi je biti s njim!]; sin. eh, oh, uh"
aha," usk. 1. izriče likovanje i zluradost [Aha, uhvatili smo te!] 2. izriče iznenadno shvaćanje čega [Aha, sad mi je jasno!]"
AIDS,"  v. kopnica, sida"
aj," usk. služi za dozivanje [Aj, dođi k nama!]; sin. e, ej, hej, o, oj"
ajme," usk. pokr. v. eh, jao, joj"
akacija, im. ž.  bot. grmolika ili drvenasta biljka podrijetlom iz tropskih i suptropskih krajeva trnovitih listova i mahunasta ploda
akademija," im. ž.  1. najviša znanstvena ustanova u državi koja okuplja istaknute intelektualce, znanstvenike i umjetnike [Hrvatska ~ znanosti i umjetnosti] 2. visoka ili viša stručna ili umjetnička škola [glazbena ~; pomorska ~; vojna ~] 3. svečana priredba u povodu kakva važnoga događaja"
akademik," im. m.  član središnje državne ustanove koja okuplja istaknute intelektualce, znanstvenike i umjetnike"
akademkinja," im. ž.  članica središnje državne ustanove koja okuplja istaknute intelektualce, znanstvenike i umjetnike"
akademski, prid.  koji se odnosi na visoko obrazovanje ili znanost [akademska četvrt; ~ građanin]
akceleracija, im. ž.  v. ubrzanje
akceleracijski, prid.  koji se odnosi na akceleraciju
akcelerator, im. m.  tehn. uređaj za povećanje kinetičke energije električno nabijenih čestica
akcenatski, prid.  v. naglasni
akcent, im. m.  v. naglasak
akcentirati, gl. dvov. prijel.  1. v. naglasiti 2. v. naglašavati 3. v. istaknuti 4. v. isticati
akcija," im. ž.  1. djelovanje usmjereno brzomu postizanju kakva cilja [~ zaustavljanja korupcije; gospodarska ~; politička ~] 2. hrabro i važno djelo, veliki posao kojega se tko prihvatio [~ zaustavljanja korupcije] 3. sniženje cijena 4. v. dionica ♦ stupiti u akciju početi odlučno djelovati"
akcijski, prid.  koji se odnosi na akciju [~ film; ~ plan; akcijske cijene]
akcioni, prid. → akcijski
akna," im. ž.  1. razg. gnojni prišt na koži prouzročen upalom žlijezda lojnica 2. 〈mn.〉 med. bolest u kojoj dolazi do pojava gnojnih prištića, najčešće na koži lica, po prsnome košu, leđima i ramenima, prouzročena upalom žlijezda lojnica"
ako," vez. 1. uvodi stvarnu pogodbenu surečenicu u zavisnosloženoj rečenici [Ako pitaju za nas, recite im da se jave.]; sin. li, ( ukoliko), u slučaju da v. pod  slučaj 2. uvodi moguću pogodbenu surečenicu u zavisnosloženoj rečenici [Posudit ću ti knjigu ~ obećaš da ćeš je pročitati.]; sin. li, pod uvjetom / uz uvjet da v. pod  uvjet, ( ukoliko) ◇ ~... i 1. uvodi stvarnu dopusnu surečenicu u zavisnosloženoj rečenici [Ako je i umoran, doći će na sastanak.]; sin. bez obzira na to što v. pod  obzir, iako, ( mada), makar, premda, unatoč tomu što v. pod  što, usprkos tomu što v. pod  što 2. uvodi nestvarnu dopusnu surečenicu u zavisnosloženoj rečenici [Ako je i umoran, došao bi.; Pa ~ i dođe, prekasno je.]; sin. da... i v. pod  da 3. uvodi moguću dopusnu surečenicu u zavisnosloženoj rečenici [Ako bi i bio umoran, došao bi na sastanak.]; sin. kad... i v. pod  kad 4. ima vezničku funkciju u zavisnosloženim stvarnim dopusnim rečenicama [Ako je i umoran, ipak će doći na sastanak.]; sin. makar… ipak v. pod  makar, iako… ipak v. pod  iako, premda (i)… ipak v. pod  premda 5. ima vezničku funkciju u zavisnosloženim mogućim dopusnim rečenicama [Ako bi i bio umoran, ipak bi došao na sastanak.]; sin. kad... i... ipak v. pod  kad, makar... ipak v. pod  makar, premda... ipak v. pod  premda"
akord, im. m.  glazb. istodobno zvučanje triju ili više tonova različite visine; sin. (suzvuk)
akreditacija, im. ž.  1. 〈jd.〉 pravo da se što učini ili čemu nazoči [~ novinara; ~ sudionika natjecanja] 2. kartica koja označuje da tko ima pravo čemu nazočiti
akreditirati, gl. dvov. prijel.  1. v. ovlastiti 2. v. ovlašćivati
akrobacija, im. ž.  vježba koja zahtijeva tjelesnu vještinu i hrabrost [cirkuska ~; gimnastička ~; letačka ~]
akrobat, im. m.  osoba koja se bavi izvođenjem akrobacija [cirkuski ~; sajamski ~; ulični ~]
akrobatika, im. ž.  ukupnost znanja i vještina u izvođenju akrobacija [plesna ~; ritmička ~]
akrobatkinja, im. ž.  žena koja se bavi izvođenjem akrobacija
akrobatski, prid.  koji se odnosi na akrobate i akrobaciju [akrobatska vještina; ~ skok; ~ let]
akronim, im. m.  v. pokrata
akropola," im. ž.  grad., pov. utvrđeni i povišeni dio antičkoga grada s hramovima i državnim zgradama [atenska ~]"
akrostih, im. m.  knjiž. pjesma u kojoj početna slova stihova tvore riječ ili poruku
aksiom, im. m.  temeljna početna tvrdnja koja se ne dokazuje i iz koje se izvode ostale tvrdnje
aktinidija, im. ž.  v. kivika
aktiv, im. m.  skupina ljudi povezana zajedničkom aktivnošću [~ učitelja]
aktiv," im. m.  gram. glagolsko stanje kojim se izriče radnja koju vrši subjekt, radno glagolsko stanje; ant. pasiv"
aktivan," prid.  koji djeluje, koji što čini, radi ili stvara [politički ~]; sin. djelatan; ant. neaktivan, nedjelatan, pasivan"
aktiviranje, im. s.  1. v. pokretanje 2. činjenje da što počne djelovati
aktivirati, gl. dvov. prijel.  1. v. pokrenuti 2. v. pokretati 3. učiniti/činiti da što počne djelovati [~ bombu]
aktivist, im. m.  osoba koja javno djeluje u promicanju određenih ideja
aktivistica, im. ž.  žena koja javno djeluje u promicanju određenih ideja
aktivističin, prid.  koji pripada aktivistici
aktivni," prid.  1. koji je u stalnoj službi, koji nije u mirovini [~ časnik]; sin. djelatni; ant. umirovljeni 2. gram. koji izriče da tko ili što vrši radnju [~ oblik]; sin. radni; ant. pasivni, trpni"
aktivnost," im. ž.  1. 〈jd.〉 osobina onoga koji je aktivan [~ na satu]; ant. neaktivnost, pasivnost 2. stanje u kojemu se što zbiva [gospodarska ~; politička ~]; sin. djelovanje 3. fiz. 〈jd.〉 jakost radioaktivnoga izvora, mjeri se bekerelima; sin. (intenzitet) ◇ slobodna ~ organizirano bavljenje glazbom, sportom, učenjem jezika itd."
aktualan, prid.  koji se zbiva u sadašnjemu trenutku i koji je sad na snazi [aktualni prvak; aktualno pitanje]
aktuelan, prid. → aktualan
akumulacija, im. ž.  1. v. gomilanje 2. geol. nagomilavanje ili taloženje gradiva razorenoga erozijom ili abrazijom
akumulacijski, prid.  1. koji se odnosi na akumulaciju 2. koji je nastao akumulacijom [akumulacijsko jezero]
akumulator," im. m.  tehn. uređaj za skupljanje i pohranjivanje električne energije [automobilski ~] ♦ napuniti akumulatore (baterije), usp. baterija"
akumulirati, gl. dvov. prijel.  1. v. gomilati 2. v. nagomilavati 3. v. nagomilati • akumulírati se 〈povr.〉 1. v. gomilati se pod  gomilati 2. v. nagomilati se pod  nagomilati 3. v. nagomilavati se pod  nagomilavati
akustičan," prid.  koji odzvanja, koji ima dobru zvučnost [akustična dvorana]"
akustički, prid.  koji se odnosi na akustiku [akustička svojstva glasova]; sin. zvukovni
akustičnost, im. ž.  svojstvo onoga što je akustično; sin. (akustika)
akustika, im. ž.  1. fiz. grana fizike koja proučava zvuk i zvučne pojave 2. v. akustičnost
akuzativ," im. m.  gram. četvrti padež u sklonidbi, odgovara na pitanje koga?, što?"
akvakultura, im. ž.  v. marikultura
akvarel, im. m.  lik. 1. 〈jd.〉 vodena boja 2. 〈jd.〉 slikarska tehnika u kojoj se boje otapaju vodom 3. slika izrađena istoimenom tehnikom
akvarij," im. m.  posuda ili bazen prozirnih stijenka ispunjeni vodom u kojima se čuvaju i uzgajaju ribe, vodozemci i vodene biljke"
akvarijski, prid.  koji se odnosi na akvarij [akvarijska voda; akvarijske ribice; ~ pribor]
akvedukt, im. m.  grad. 1. hist. antički vodovod koji ima vodovodne cijevi iznad zemlje 2. most u koji je ugrađena vodovodna cijev
akviziter," im. m.  osoba koja obavlja terensku prodaju ili prikuplja pretplatu, pretplatnike ili oglase"
akviziterka," im. ž.  žena koja obavlja terensku prodaju ili prikuplja pretplatu, pretplatnike ili oglase"
akviziterski, prid.  koji se odnosi na akvizitere [akviziterska prodaja]
alarm," im. m.  1. znak za uzbunu u slučaju kakve opasnosti, požara, poplave, vojnoga napada i sl. [svjetlosni ~; zvučni ~] 2. v. uzbuna 3. v. alarmni uređaj pod  uređaj"
alarmantan, prid.  koji prouzročuje uzbunu i uznemirenost [alarmantne glasine]
alarmni, prid.  koji se odnosi na alarm [~ uređaj]
alat, im. m.  oruđe ili pribor koji služi za izvođenje radnih postupaka ili obradbu gradiva ili predmeta [bravarski ~; kovački ~; stolarski~] ◇ programski ~ inform. program s pomoću kojega računalni korisnici određene operacije mogu obavljati jednostavnije nego primjenom naredaba operativnoga sustava [programski ~ za jezičnu provjeru]
alatni, prid.  koji se odnosi na alat [alatna vrpca]
albanski," prid.  1. koji se odnosi na Albance i Albaniju 2. 〈u im. funkciji〉 〈jd. m.〉 jez. a. službeni jezik u Albaniji, na Kosovu i u Makedoniji te narodni jezik Albanaca b. grana indoeuropske jezične porodice koja obuhvaća samo istoimeni jezik"
albinizam," im. m.  med. potpuni nedostatak pigmenta u koži, kosi, noktima i šarenici oka"
album," im. m.  1. knjiga namijenjena umetanju i čuvanju zbirke onoga što se skuplja [fotografski ~; ~ za značke; ~ za poštanske marke] 2. zbirka glazbenih djela na nosaču zvuka, glazbeno izdanje koje se sastoji od više skladba"
alegoričan," prid.  koji izražava alegoriju, koji simbolizira kakvu pojavu ili misao [~ motiv]"
alegorija," im. ž.  1. knjiž. stilska figura u kojoj se pojmovi, ideje ili radnje prikazuju s pomoću likova i slika prenesena značenja 2. lik. predmet, lik ili skupina likova na slici, crtežu itd. koji simboliziraju kakvu pojavu ili misao"
alegorijski, prid.  koji se odnosi na alegoriju [~ prikaz]
aleja, im. ž.  ulica ili cesta s drvoredom
alergen, im. m.  med. tvar koja u tijelu izaziva alergijske reakcije
alergičan," prid.  1. koji ima alergiju [~ na prašinu] 2. pren., razg. koji ne podnosi koga ili što [On je ~ na takvo ponašanje.]"
alergija, im. ž.  med. osjetljivost organizma na strane tvari [~ na pelud; ~ na penicilin]
alergijski, prid.  koji se odnosi na alergiju [alergijska reakcija; alergijska upala]
alfabet, im. m.  jez. 1. ustaljeni redoslijed slova u grčkome i hebrejskome pismu 2. grčko i hebrejsko pismo
alfabetni, prid.  koji se odnosi na alfabet
alga," im. ž.  biol. 1. 〈mn.〉 podcarstvo protista čije se tijelo sastoji od jedne stanice koja obavlja sve funkcije, imaju sposobnost fotosinteze i žive u vodenome ili vlažnome okružju 2. pripadnik istoimenoga podcarstva [crvena ~; smeđa ~; zelena ~]"
algašica," im. ž.  biol. 1. 〈mn.〉 skupina nižih gljiva čije hife nemaju poprečne stijenke, a stanična im je stijenka od hitina ili celuloze 2. pripadnik istoimene skupine"
algebarski, prid.  koji se odnosi na algebru [~ broj; algebarska jednadžba]
algebra, im. ž.  mat. grana matematike koja proučava operacije s brojevima i njihova poopćenja
algoritam," im. m.  1. inform. postupak, odnosno niz koraka koji dovode do rješenja zadanoga problema; sin. postupnik 2. mat. točan propis o izvođenju matematičkih operacija zadanim redoslijedom radi rješavanja određenoga problema [Euklidov ~]"
algoritamski, prid.  koji se odnosi na algoritam
ali," vez. u nezavisnosloženoj suprotnoj rečenici kojom se izriče izrazita suprotnost povezuje: a. surečenice od kojih druga izriče iznevjereno očekivanje ili neostvarenu posljedicu [Dobro je trčao, ~ nije uspio pobijediti.]; sin. no b. surečenice čije radnje nisu povezane odnosom iznevjerenoga očekivanja ili neostvarene posljedice [Djevojčice su došle na vrijeme, ~ dječaci su malo zakasnili.]; sin. dočim zast., dok, no"
alibi," im. m.  1. prav. sredstvo obrane kojim se dokazuje da je osumnjičeni u vrijeme kad je počinjeno kazneno djelo bio na drugome mjestu 2. pren., razg. dobar izgovor [naći ~ za nedolazak]"
aligator," im. m.  zool. 1. 〈mn.〉 porodica slatkovodnih životinja iz reda krokodila, crne boje, široke glave te snažno oklopljenih leđa, kad su im usta zatvorena, vide se samo zubi gornje čeljusti 2. pripadnik istoimene skupine [američki ~; kineski ~]"
alijansa, im. ž.  v. savez
alimentacija, im. ž.  novac koji nakon rastave braka jedan roditelj daje za uzdržavanje djeteta ili bivšega bračnog druga
aliteracija, im. ž.  knjiž. glasovna figura u kojoj se ponavljaju isti suglasnici ili suglasničke skupine u stihu ili prozi
alka," im. ž.  uzak predmet kružnoga oblika kroz koji se što provlači, kojim se što uokviruje ili spaja [~ na bačvi]; sin. kolut, obruč, prsten ◇ Sinjska ~ folk. tradicionalno viteško natjecanje u kojemu konjanici u trku kopljem gađaju kovinski obruč"
alkan, im. m.  kem. zasićeni ugljikovodik koji pripada skupini spojeva opće formule CnH2n+2
alkar, im. m.  konjanik koji sudjeluje u Sinjskoj alci
alkarev, prid.  koji pripada alkaru; sin. alkarov
alkarov, prid.  usp. alkarev
alkarski, prid.  koji se odnosi na alkare i alku [~ vojvoda; alkarsko natjecanje]
alkemičar, im. m.  osoba koja se bavi alkemijom
alkemičarev, prid.  koji pripada alkemičaru; sin. alkemičarov
alkemičarka, im. ž.  žena koja se bavi alkemijom
alkemičarov, prid.  usp. alkemičarev
alkemija," im. ž.  tajno srednjovjekovno umijeće zasnovano na kemijskim postupcima s pomoću kojega se nastojalo neplemenite kovine pretvoriti u zlato, pronaći kamen mudraca i eliksir mladosti"
alkemijski, prid.  koji se odnosi na alkemiju
alken, im. m.  kem. nezasićeni ugljikovodik s dvostrukom vezom koji pripada skupini spojeva opće formule CnH2n
alkin, im. m.  kem. nezasićeni ugljikovodik s trostrukom vezom koji pripada skupini spojeva opće formule CnH2n-2
alkohol," im. m.  1. kem. organski spoj koji sadržava hidroksilnu skupinu vezanu za ugljik ◇ etilni/obični ~ alkohol jaka mirisa i okusa, bezbojna i zapaljiva tekućina koja se dobiva od škroba ili šećera vrenjem s pomoću kvasca te sintezom, u većim količinama djeluje opojno na čovjeka; sin. etanol, špirit razg.; metilni ~ najjednostavniji alkohol, bezbojna otrovna tekućina koja se upotrebljava u kemijskoj industriji; sin. metanol 2. 〈jd.〉 razg. v. alkoholno piće pod  piće"
alkoholičar," im. m.  osoba koja pretjerano uživa u alkoholnim pićima, ovisnik o alkoholnim pićima; ant. antialkoholičar"
alkoholičarev," prid.  koji pripada alkoholičaru; sin. alkoholičarov; ant. antialkoholičarev, antialkoholičarov"
alkoholičarka," im. ž.  žena koja pretjerano uživa u alkoholnim pićima, ovisnica o alkoholnim pićima; ant. antialkoholičarka"
alkoholičarov, prid.  usp. alkoholičarev
alkoholizam, im. m.  med. ovisnost o alkoholnim pićima
alkoholni, prid.  1. koji se odnosi na alkohol [alkoholne pare] 2. koji sadržava alkohol [alkoholno piće]; ant. bezalkoholni
alkoholometar, im. m.  tehn. uređaj s pomoću kojega se mjeri koncentracija alkohola u organizmu
almanah," im. m.  prigodna publikacija, obično godišnjak ili zbornik, s prilozima više autora i različitim sadržajima"
alotrop, im. m.  kem. drukčiji strukturni oblik kemijskoga elementa
alotropija, im. ž.  kem. pojavljivanje istoga kemijskog elementa u više oblika zbog različitoga broja atoma u molekuli ili različite kristalne strukture
alotropni, prid.  kem. koji se odnosi na alotrope
alpinist, im. m.  osoba koja se bavi alpinizmom
alpinistica, im. ž.  žena koja se bavi alpinizmom
alpinističin, prid.  koji pripada alpinistici
alpinistički, prid.  koji se odnosi na alpiniste i alpinizam [alpinistička oprema]
alpinizam, im. m.  sp. sportska disciplina uspinjanja na visoke planine i strme stijene uz posebnu opremu
alt, im. m.  glazb. 1. 〈jd.〉 najniži ženski glas 2. pren. žena istoimenoga glasa
alteracija, im. ž.  1. v. izmjena 2. geol. raspadanje stijena djelovanjem prirodnih procesa 3. glazb. postupak povisivanja ili snizivanja pojedinoga tona unutar glazbene ljestvice
alternacija," im. ž.  1. izmjenjivanje, smjenjivanje ili izmjenično ponavljanje dvaju stanja 2. kaz. naizmjenična gluma dvaju glumaca u istoj ulozi 3. jez. pravilna zamjena jednoga glasa drugim [fonološki uvjetovana ~; morfološki uvjetovana ~]"
alternativa, im. ž.  druga mogućnost
alternativan, prid.  koji se odnosi na drugu mogućnost [alternativna cesta; alternativni udžbenik]
altruist, im. m.  osoba koja djeluje za tuđe dobro i u tuđu korist; ant. egoist
altruistica, im. ž.  žena koja djeluje za tuđe dobro i u tuđu korist; ant. egoistica
altruističan, prid.  koji djeluje za tuđe dobro i tuđu korist; ant. egoističan
altruističin, prid.  koji pripada altruistici; ant. egoističin
altruistično, pril. tako da pokazuje da tko djeluje za tuđe dobro i tuđu korist; ant. egoistično
altruizam, im. m.  djelovanje za tuđe dobro i tuđu korist; ant. egoizam
aluminij," im. m.  kem. kemijski element (Al), u prirodi se pojavljuje samo u spojevima, srebrnobijela laka kovina, nakon kisika i silicija najprošireniji element u Zemljinoj kori"
aluminijev, prid.  kem. 1. koji pripada aluminiju [~ atom] 2. koji sadržava aluminij [~ oksid]
aluminijski," prid.  koji se odnosi na aluminij, koji je od aluminija [aluminijsko posuđe; aluminijska folija]"
aluvij," im. m.  geol. 1. nanos koji je nanijela rijeka; sin. naplavina 2. najmlađe geološko razdoblje, dio kvartara koje traje posljednjih 10 000 godina; sin. holocen"
aluvijalni, prid.  koji se odnosi na aluvij [aluvijalno tlo]
alveola, im. ž.  anat. 1. mjehurić koji omogućuje izmjenu plinova u plućima 2. koštana čašica u koju je usađen zub 3. pravilna skupina žljezdanih stanica u obliku kugle ili polukugle
alveolar, im. m.  v. desnik
alveolarni, prid.  v. desnički
aljkav," prid. → nemaran, neuredan, površan"
amandman, im. m.  prav. izmjena ili dopuna postojećega zakonodavnog akta ili kakva zakonskog prijedloga [predložiti ~]
amanet, im. m.  pokr. obveza da se što učini [ostaviti u ~]
amater, im. m.  osoba koja se bavi poslom za koji nije stručno osposobljena; sin. neprofesionalac; ant. profesionalac
amaterizam, im. m.  djelovanje amatera; ant. profesionalizam
amaterka, im. ž.  žena koja se bavi poslom za koji nije stručno osposobljena; sin. neprofesionalka; ant. profesionalka
